img, model, prior_probs, predicted_probs, predicted_class, actual_class, pixel_count
4271,lenet,"[7.0373912e-04 9.9337208e-01 3.6967899e-07 2.0763948e-05 2.4882695e-08
 1.9014912e-07 9.4674107e-07 3.9027514e-06 4.1817376e-04 5.4797642e-03]","[2.4633379e-01 6.9935691e-01 2.1579253e-04 2.8102582e-03 5.0327453e-05
 3.2561363e-04 4.7113647e-04 7.5965021e-03 9.3336059e-03 3.3506073e-02]",automobile,automobile,1
3900,lenet,"[9.40607116e-03 1.08303700e-03 2.98221875e-03 8.25126410e-01
 4.79627075e-03 1.15369074e-01 3.55782323e-02 2.82268971e-03
 4.11995970e-05 2.79475469e-03]","[8.9090671e-03 1.3028692e-03 4.7769849e-03 4.6554902e-01 3.0181252e-03
 3.5639614e-02 4.7263432e-01 3.5128372e-03 4.4267988e-04 4.2144638e-03]",frog,cat,1
8500,lenet,"[2.3021074e-05 2.4698593e-07 1.0562033e-02 4.6011753e-04 9.7277200e-01
 7.5930837e-03 1.8017086e-05 8.5686427e-03 1.0251957e-06 1.7266694e-06]","[1.8725687e-04 4.5778132e-05 1.2872774e-02 2.8203830e-02 5.2812159e-01
 2.0118202e-01 6.0993608e-04 2.2863805e-01 4.0318311e-05 9.8448501e-05]",deer,deer,1
7537,lenet,"[1.4073258e-04 2.5394691e-05 3.0391671e-02 1.1197748e-02 9.1388083e-01
 2.5209660e-02 1.5769135e-02 3.3251443e-03 2.0935811e-05 3.8754606e-05]","[2.28970707e-03 1.95723376e-03 3.60886008e-01 6.71187565e-02
 2.99409062e-01 1.17544696e-01 1.23502910e-01 2.39315294e-02
 3.06863803e-04 3.05333291e-03]",bird,deer,1
4342,lenet,"[8.1006926e-04 3.5648998e-03 1.6519953e-03 8.1024516e-01 1.0797176e-02
 9.6039832e-02 1.5480865e-02 3.5901216e-03 5.0808206e-02 7.0117493e-03]","[0.00484265 0.01851506 0.00495197 0.30252683 0.03559536 0.08806281
 0.01097757 0.0115063  0.4788486  0.04417284]",ship,cat,1
4563,lenet,"[0.01622923 0.00205675 0.04241466 0.00831121 0.00347881 0.01256627
 0.00300754 0.9061816  0.00132895 0.00442496]","[0.17367513 0.0044743  0.3323171  0.04857797 0.0130467  0.15228479
 0.00592826 0.25653726 0.00718935 0.00596909]",bird,horse,1
1158,lenet,"[8.0664022e-06 6.4241433e-01 1.4716042e-07 5.0937171e-08 2.8003411e-08
 4.7678316e-08 2.3903857e-07 8.9527639e-08 4.4343640e-05 3.5753253e-01]","[8.2071938e-06 1.5660906e-01 7.2311593e-08 5.7471109e-08 5.8269443e-09
 4.9138993e-08 1.6386008e-07 1.7170915e-07 6.1560240e-05 8.4332073e-01]",truck,automobile,1
1976,lenet,"[4.0935515e-04 5.1259291e-03 2.2249915e-02 1.7979130e-01 1.8876553e-02
 6.1975801e-01 1.2127354e-01 2.8993718e-02 1.3598581e-04 3.3856812e-03]","[0.00173181 0.01850791 0.04319766 0.14025109 0.07580132 0.22808209
 0.40704748 0.0685411  0.00053047 0.01630906]",frog,dog,1
1320,lenet,"[2.5398254e-05 3.2496001e-08 4.9220549e-04 4.8542559e-05 1.4482419e-02
 2.3686551e-03 3.2602054e-07 9.8258162e-01 6.0503686e-07 2.0736373e-07]","[3.3956608e-03 4.5430770e-05 4.3514249e-01 5.7105524e-03 5.5792104e-02
 7.8234099e-02 3.8397725e-04 4.2092139e-01 3.4685584e-04 2.7614846e-05]",bird,horse,1
1340,lenet,"[2.68253521e-03 9.88329291e-01 1.00402525e-04 9.81335834e-05
 6.72107308e-06 6.65404077e-05 6.29720380e-05 1.38113319e-05
 8.54551035e-04 7.78498780e-03]","[0.26029208 0.5306746  0.00417648 0.00424423 0.00116879 0.00192207
 0.00128349 0.00667508 0.01362333 0.17593981]",automobile,automobile,1
1805,lenet,"[7.0121366e-04 4.7925996e-06 7.7511453e-05 4.8138012e-05 1.8899791e-05
 6.1418473e-06 1.4887338e-05 2.9826913e-06 9.9911946e-01 5.9335439e-06]","[5.6139660e-01 1.4830115e-03 7.9542976e-03 1.6956403e-03 1.2538127e-03
 4.8088425e-04 5.5332580e-03 3.9174958e-04 4.1644800e-01 3.3628186e-03]",airplane,ship,1
